PROVINCIA	DENOMINACION GENÉRICA	LOCALIDAD	CÓDIGO	DENOMINACION ESPECÍFICA	DOMICILIO	CODPOSTAL	TELÉFONO	FAX	EMAIL
Huesca	Escuela de Educación Infantil	Fonz	22010554	DE FONZ	CL. ZARAGOZA, 8	22422	974412001	974412247	
Huesca	Escuela de Educación Infantil	Fraga	22010402	XIQUETS	INTERSECCIÓN C/ CABAÑERA REAL Y C/ JAIME I	22520	974 47 08 77	974 47 08 77	xiquets@fraga.org
Huesca	Escuela de Educación Infantil	Frula	22010621	DE FRULA	RONDA SUR, 6	22269	974392763		
Huesca	Escuela de Educación Infantil	Grañén	22010669	DE GRAÑÉN	CL. JUAN XXIII, 6	22260	974390252		
Huesca	Escuela de Educación Infantil	Graus	22010281	NININS	CL. GAITEROS DE CASERRAS, 2	22430	974540299	974546002	aytograus@aragon.es
Huesca	Escuela de Educación Infantil	Gurrea de Gállego	22010438	DE GURREA DE GÁLLEGO	CL. CERVANTES Nº 1	22280	976 68 80 95	976 68 83 37	escuelainfantilgurreadegallego@gmail.com
Huesca	Escuela de Educación Infantil	Huesca	22010463	LAS PAJARITAS	CL. FUENTE DEL IBÓN, Nº 7	22002	974 24 59 88	974 29 21 63	secretaria@huesca.es
Huesca	Escuela de Educación Infantil	Huesca	22010803	MARÍA SÁNCHEZ ARBÓS	Cl. Ramón J. Sender, 19	22005	974 21 33 25	974 21 56 98	juventud@huesca.es
Huesca	Escuela de Educación Infantil	Jaca	22010207	DE JACA	CL. BORNAO, S/N	22700	974 35 60 01	974 35 60 01	escuelainfantil@aytojaca.es
Huesca	Escuela de Educación Infantil	Lalueza	22010633	DE LALUEZA	P.º COMENGE, 42	22214	974575146		
Huesca	Escuela de Educación Infantil	Lanaja	22010657	DE LANAJA	CL. José Borruel, S/N	22250	606240353	974574399	
Huesca	Escuela de Educación Infantil	Monflorite	22010542	ANDARINES	CL. Castillones, nº 6 - 8	22111	974 28 01 51	974280151	eiandarines1@gmail.com
Huesca	Escuela de Educación Infantil	Monzón	22010694	CLARA CAMPOAMOR	CL. HUERVA, 1	22400	617821817		
Huesca	Escuela de Educación Infantil	Nueno	22010475	DE NUENO	URB. PARQUE DE GUARA	22193	974 10 16 08	974 27 12 39	guardaytonueno@yahoo.es
Huesca	Escuela de Educación Infantil	Osso De Cinca	22010414	SANTA MARGARITA	CARRETERA DE FRAGA S/N	22532	974 45 60 40	974 45 62 68	ossodecinca@ossodecinca.es
Huesca	Escuela de Educación Infantil	Panticosa	22010335	TRIAMOLETA	CL. CAMPOS DE LA IGLESIA, S/N	22661	974 48 70 16	974 48 75 77	ayto@panticosa.es
Huesca	Escuela de Educación Infantil	Peñalba	22010761	DE PEÑALBA	CL. LAS AFUERAS, S/N	22592	976462031	976463399	
Huesca	Escuela de Educación Infantil	Peralta de Alcofea	22010499	DE PERALTA DE ALCOFEA	CL. BALMES, 16	22130	974 30 11 62	974 30 13 43	secretaria@peraltadealcofea.org
Huesca	Escuela de Educación Infantil	Puente La Reina de Jaca	22010505	DE PUENTE LA REINA DE JACA	CL. MOLINO, S/N	22753	974377201	974377201	
Huesca	Escuela de Educación Infantil	Robres	22010611	DE ROBRES	CL. SAN BLAS, 9	22252	974392121		
Huesca	Escuela de Educación Infantil	Sabiñánigo	22010128	CARDELINA	Cl. Valle De Oza	22600	974 48 42 62	974 48 42 01	cardelina@aytosabinanigo.net
Huesca	Escuela de Educación Infantil	Sallent de Gállego	22010013	DE SALLENT DE GÁLLEGO	"Paseo ""Gigante Aragonés"", 34 bis"	22640	974 48 82 74	974 48 83 07	guardesallent@hotmail.com
Huesca	Escuela de Educación Infantil	Santa Cilia	22010530	DE SANTA CILIA	CL. PIRINEOS, S/N	22971	974377168	974377168	
Huesca	Escuela de Educación Infantil	Sariñena	22010670	DE SARIÑENA	CTRA. DE FRAGA, S/N	22200	974570900	974570860	
Huesca	Escuela de Educación Infantil	Sena	22010797	DE SENA	AVDA. de Huesca 14	22230	974578345	974578409	aytosena@monegros.net
Huesca	Escuela de Educación Infantil	Tamarite de Litera	22010190	EL TAMARINDO	CL. SAN MIGUEL, 11	22550	974 42 14 86	974 42 17 47	escuelainfantil@tamaritedelitera.es
Huesca	Escuela de Educación Infantil	Tardienta	22010645	ARBOLEDA	AVDA. JOSÉ MARÍA PELEATO, 18	22240	659590832	976253135	
Huesca	Escuela de Educación Infantil	Tierz	22010244	LA CANTERA	CL. LA ALEGRÍA, 6	22192	974 25 20 41	974 24 63 97	aytotierz@aragon.es
Huesca	Escuela de Educación Infantil	Torrente de Cinca	22010700	DE TORRENTE DE CINCA	CL. ARRABAL DEL NORTE, S/N	22590	974 46 70 00	974 46 71 56	ayto.torrente@gmail.com
Huesca	Escuela de Educación Infantil	Vencillón	22010271	LUPITA	CL. Mediodia s/n	22549	974 43 43 10	974 43 43 16	vencillon@lalitera.org
Huesca	Escuela de Educación Infantil	Villanúa	22010608	DE VILLANÚA	CL. FACI ABAD, S/N	22870	974378004	974378197	
Huesca	Escuela Hogar	Boltaña	22001218	DE BOLTAÑA	Cl. Samper, S/N	22340	974 50 20 75	974 50 23 06	ehboltana@educa.aragon.es
Huesca	Escuela Hogar	Jaca	22002739	DE JACA	CL. FERROCARRIL, 17	22700	974 36 20 67		ehjaca@educa.aragon.es
Huesca	Escuela Oficial de Idiomas	Barbastro	22010037	RÍO VERO	Cami. De La Boquera, S/N	22300	974 11 03 60	974 30 64 59	eoibarbastro@educa.aragon.es
Huesca	Escuela Oficial de Idiomas	Huesca	22005212	DE HUESCA	P.º Lucas Mallada, S/N	22006	974 24 02 99	974 24 02 99	eoihuesca@educa.aragon.es
Huesca	Escuela Oficial de Idiomas	Monzón	22005595	IGNACIO LUZÁN	Avda. De Fonz, 1	22400	974 41 58 40	974 41 58 70	eoimonzon@educa.aragon.es
Huesca	Escuela Oficial de Idiomas	Sabiñánigo	22005662	DE SABIÑÁNIGO	CL. INSTITUTO LABORAL, 9	22600	974 48 33 80	974 48 33 32	eoisabinanigo@educa.aragon.es
Huesca	Escuela Pública de Música	Aínsa	22010451	JOSE MARÍA CAMPO	CL. CORTES DE ARAGÓN, Nº 3	22330	974500074	974500955	escuelademusicaainsa@gmail.com
Huesca	Escuela Pública de Música	Altorricón	22010347	DE ALTORRICÓN	CL. MIGUEL FLETA, 2	22540			
Huesca	Escuela Pública de Música	Barbastro	22010131	ESCUELA DE MÚSICA	Cl. Argensola, 26 Casa De Cultura	22300	974 31 52 25	974 31 52 25	musica@barbastro.org
Huesca	Escuela Pública de Música	Binéfar	22005364	ESCUELA DE MÚSICA	CL. GALILEO, 7-13	22500	974 42 81 00	974 43 09 50	aytobinefar@aragob.es
Huesca	Escuela Pública de Música	Fraga	22005911	INSTITUTO MUSICAL COMARCAL	P.º Barrón Gengonyer, 7	22520	974 47 09 89	974 47 42 74	
Huesca	Escuela Pública de Música	Gurrea de Gállego	22010372	DE GURREA DE GÁLLEGO	PZA. TÍO PEPE, S/N	22280			
Huesca	Escuela Pública de Música	Tardienta	22010773	VILLA DE TARDIENTA	CL. MARIANO GAVÍN, 13-15	22240	974253001	974253135	aytotardienta@aragon.es
Huesca	Escuela Pública de Música y Danza	Jaca	22005224	PILAR BAYONA	CL. ISAAC ALBÉNIZ, S/N	22700	974 35 55 28	974 35 55 28	escuelamusica@aytojaca.es
Huesca	Escuela Superior de Conservación y Restauración de Bienes Culturales	Huesca	22010086	DE ARAGÓN	Cl. Coso Alto, 61	22003	974 23 06 05	974 21 89 24	esconres@educa.aragon.es
Huesca	Extensión de Escuela Oficial de Idiomas	Binéfar	22010852	DE MONZÓN	Plza. Hipólito Bitrián, 1	22500			
Huesca	Extensión de Escuela Oficial de Idiomas	Fraga	22010025	DE MONZÓN	P.º De La Constitución, S/N	22520	974 41 58 40	974 45 38 36	
Huesca	Extensión de Escuela Oficial de Idiomas	Jaca	22010049	DE SABIÑÁNIGO	Avda. Regimiento Galicia, S/N	22700	974 36 18 47	974 35 58 53	
Huesca	Guardería del Gobierno de Aragón	Barbastro	22600060	LA PAZ	CL. Miguel Fleta, 3	22300	974 31 38 44		gilapaz@educa.aragon.es
Huesca	Guardería del Gobierno de Aragón	Huesca	22600072	NUESTRA SEÑORA DE SAN LORENZO	CL. Ramón J. Sender nº 19	22006	974 22 31 38	974 22 31 38	gisanlorenzo@educa.aragon.es
Huesca	Guardería del Gobierno de Aragón	Monzón	22600084	NUESTRA SEÑORA DE LA ALEGRÍA	Avda. del Pueyo, 78	22400	974 40 16 26		ginsdelaalegria@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Aínsa	22005406	SOBRARBE	Cl. Lucien Briet, S/N	22330	974 50 00 56	974 510092	iesainsa@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Alcolea de Cinca	22006113	CINCA-ALCANADRE	Avda. Autonomía De Aragón, S/N	22410	974 46 82 36	974 46 82 36	iesalcolea@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Barbastro	22000809	HERMANOS ARGENSOLA	Avda. Del Cinca, S/N	22300	974 31 17 38	974 31 14 38	ieshabarbastro@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Barbastro	22004611	MARTÍNEZ VARGAS	Cami. De La Boquera, S/N	22300	974 31 02 94	974 30 64 59	iesmvbarbastro@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Binéfar	22005388	SIERRA DE SAN QUÍLEZ	PZA. HIPÓLITO BITRIÁN, 1	22500	974 42 82 95	974 42 80 40	iesbinefar@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Castejón de Sos	22006095	DE CASTEJÓN DE SOS	PZA. COSTITUCIÓN, S/N	22466	974 55 33 08	974553308	iescastejons@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Fraga	22001917	RAMÓN J. SENDER	P.º De La Constitución, S/N	22520	974 47 01 44	974 45 38 36	iesrsfraga@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Fraga	22004888	BAJO CINCA	Cl. Río Cinca, S/N	22520	974 45 38 60	974 45 39 00	secretiesbc@educaragon.org
Huesca	Instituto de Educación Secundaria	Grañén	22006101	MONTES NEGROS	Cl. Escuelas, S/N	22260	974 39 03 03	974 39 10 03	iesgranen@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Graus	22002168	BALTASAR GRACIÁN	Partida Coscolla, S/N	22430	974 54 01 57	974 54 05 01	iesgraus@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Huesca	22002508	RAMÓN Y CAJAL	Avda. De La Paz, 9	22004	974 22 04 36	974 22 08 85	iesrychuesca@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Huesca	22002511	PIRÁMIDE	CAMI. DE CUARTE, S/N	22004	974210012	974210042	iespirhuesca@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Huesca	22002521	SIERRA DE GUARA	Cl. Ramón J. Sender, 4	22005	974 24 34 77	974 24 31 07	iessguhuesca@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Huesca	22004773	LUCAS MALLADA	Cl. Torre Mendoza, 2	22005	974 24 48 34	974 24 17 70	ieslmahuesca@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Jaca	22002727	DOMINGO MIRAL	Avda. Regimiento de Galicia, 6	22700	974 36 18 47	974 35 58 53	iesdmjaca@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Jaca	22005765	PIRINEOS	Cl. Ferrocarril, 17	22700	974 35 58 57	974 35 58 42	iespijaca@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Monzón	22003288	JOSÉ MOR DE FUENTES	Avda. Del Pueyo, 89	22400	974 40 16 30	974 40 38 82	iesmonzon@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Sabiñánigo	22003902	SAN ALBERTO MAGNO	Paseo de la Corona nº 2	22600	974 48 01 79	974 48 07 55	iesamsabinanigo@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Sabiñánigo	22004891	BIELLO ARAGÓN	Cl. Derechos Humanos, 5	22600	974 48 26 82	974 48 30 28	iesbasabinanigo@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Sariñena	22005030	MONEGROS-GASPAR LAX	Cami. De Las Torres, S/N	22200	974 57 11 14	974 57 05 65	iessarinena@educa.aragon.es
Huesca	Instituto de Educación Secundaria	Tamarite de Litera	22005391	LA LLITERA	Camino La Colomina s/n	22550	974 42 03 60	974 42 19 59	iestamarite@educa.aragon.es
Huesca	Instituto de Formación Profesional Específica	Huesca	22002491	MONTEARAGÓN	Ctra. De Sariñena, Km. 4	22111	974 24 26 73	974 24 58 66	ifpemontearagon@educa.aragon.es
Huesca	Sección de Instituto de Educación Secundaria	Almudévar	22006083	PIRÁMIDE	CL. Miguel Monserrat s/n	22270	974 25 02 66	974 25 02 66	iesalmudevar@educa.aragon.es
Huesca	Sección de Instituto de Educación Secundaria	Biescas	22006125	BIELLO ARAGÓN	Pza. de la Constitución s/n	22630	974 49 56 34		iesbiescas@educa.aragon.es
Teruel	Aula de Educación de Adultos	Monreal del Campo	44004963	DE MONREAL DEL CAMPO	Cl. Gonzalo De Liria, 2 (1ª Planta)	44300	978 86 45 15	978 86 36 58	
Teruel	Centro de Profesores y Recursos	Teruel	44700025	DE TERUEL	CL. Ciudad Escolar, s/n	44003	978 61 84 60	978 61 70 88	cprterue@adigital.pntic.mec.es
Teruel	Centro de Recursos y Apoyo a las TIC	Alcorisa	44700165	CATEDU	CL. Miguel de Cervantes, s/n	44550	978 84 10 86	978 84 10 86	catedu@educa.aragon.es
Teruel	Centro Privado de Educación Infantil	Alcañiz	44010082	VEO-VEO	Cl. Ronda De Caspe, 3	44600	978 83 11 06		
Teruel	Centro Privado de Educación Infantil	Alcañiz	44010161	SOLETES	PZA. PAOLA BLASCO, 14	44600			
Teruel	Centro Privado de Educación Infantil	Teruel	44010057	EL ENSANCHE	Cl. José Torán, 4	44002	978 62 03 61	978 60 38 61	
Teruel	Centro Privado de Educación Infantil	Teruel	44010094	DUMBO	CL. SAN DAMIÁN, 5	44003	978 61 04 83		
Teruel	Centro Privado de Educación Infantil	Teruel	44010318	MAFALDA-LAS VIÑAS	CAMINO CAPUCHINOS, 1	44003			
Teruel	Centro Privado de Educación Infantil	Teruel	44010653	SNOOPY	CL. TENOR MARÍN, 6-A	44002	978612180		
Teruel	Centro Privado de Educación Infantil	Teruel	44010689	GAG CU CU-TRAS TRAS	Polígono Residencial Sur-Parcela 18-A, Ctra. Castralvo, s/n bajo	44002			
Teruel	Centro Privado de Educación Infantil Primaria y Secundaria	Alcañiz	44000261	SAN VALERO	Cl. Escolapios, 2	44600	978 83 11 55	978 83 11 50	sanvalero@escolapiosemaus.org
Teruel	Centro Privado de Educación Infantil Primaria y Secundaria	Alcañiz	44000271	LA INMACULADA	Cl. Blasco, 1	44600	978 83 10 87	978 83 12 07	colegio_la_inmaculada@hotmail.com
Teruel	Centro Privado de Educación Infantil Primaria y Secundaria	Teruel	44003041	LA SALLE-SAN JOSÉ	Cl. Tenor Marín, nº 6A	44002	978 61 71 78	978 61 71 77	teruel@lasalle.es
Teruel	Centro Privado de Educación Infantil Primaria y Secundaria	Teruel	44003077	LAS VIÑAS	Cami. De Capuchinos, 1	44003	978 61 71 15	978 61 71 19	semimen@planalfa.es
Teruel	Centro Privado de Educación Infantil Primaria y Secundaria	Teruel	44003156	VICTORIA DÍEZ	Avda. Ruiz Jarabo, 4	44002	978 62 01 31	978 62 20 91	victoriadiez@planalfa.es
Teruel	Centro Privado de Educación Infantil Primaria y Secundaria	Teruel	44003171	LA PURÍSIMA Y SANTOS MÁRTIRES	Pza. Goya, 5	44001	978 60 11 61	978 60 62 02	terciarias@planalfa.es
Teruel	Centro Público de Educación de Personas Adultas	Alcañiz	44004574	RÍO GUADALOPE	Cl. Nicanor Villalta, 2	44600	978 83 14 15	978 87 05 55	cpeaalcaniz@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Alcorisa	44004847	DE ALCORISA	Cl. Fuente Nueva, 24	44550	978 841117	978 841117	cpeaalcorisa@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Andorra	44005220	DE ANDORRA	CL. ESCUELAS, 10	44500	978 88 04 54	978 88 00 95	cpeaandorra@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Calamocha	44004938	DE CALAMOCHA	CL. ENMEDIO, 24; BAJO	44200	978 73 06 80	978 73 06 80	cpeacalamocha@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Caminreal	44004941	DE CAMINREAL	Plaza de las escuelas, nº 3	44350	978 862792	978 862792	cpeacaminreal@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Cella	44004951	DE CELLA	Cl. Sánchez Motos, 64	44370	978 65 03 67	978 65 03 67	cpeacella@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Montalbán	44005001	CUENCA MINERA	CL. MANUELA CIRUGEDA, EDIFICO ÍTACA	44700	978 75 05 31	978 75 40 26	cpeamontalban@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Rubielos de Mora	44004926	DE RUBIELOS DE MORA	Cl. El Plano, 13	44415	978 80 43 09	978 80 43 09	cpearubielos@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Teruel	44004124	ISABEL DE SEGURA	Pza. Santa Teresa, 8	44003	978 60 78 81	978 61 14 77	cpeateruel@educa.aragon.es
Teruel	Centro Público de Educación de Personas Adultas	Valderrobres	44004884	DE VALDERROBRES	Avda. Gral. Gutierrez Mellado, S/N	44580	978 85 06 47		cpeavalderrobres@educa.aragon.es
Teruel	Centro Público Integrado de Formación Profesional	Alcañiz	44010537	BAJO ARAGÓN	CL. José Pardo Sastrón, 1		978 831063		cpifpbajoaragon@educa.aragon.es
Teruel	Centro Público Integrado de Formación Profesional	Teruel	44010011	ESCUELA SUP. DE HOSTELERÍA DE ARAGÓN	Cl. Mariano Muñoz Nogués, 11-13	44001	978 60 01 35	978 60 01 14	esuhosteruel@aragon.es
Teruel	Centro Rural de Innovación Educativa	Alcorisa	44700131	ALCORISA	Pza. del Seminario, 1	44550	978 84 05 03		crietalcorisa@educa.aragon.es
Teruel	Colegio de Educación Especial	Andorra	44004148	GLORIA FUERTES	CL. FUENTE BAJA, 28	44500	978 84 26 52	978 84 26 52	ceeandorra@educa.aragon.es
Teruel	Colegio de Educación Especial	Teruel	44003259	ARBOLEDA	Camino de Capuchinos, 6	44003	978 60 28 20	978 60 19 50	ceealteruel@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Albalate del Arzobispo	44000121	ROMÁN GARCÍA	Cl. Ronda Gárate S/N	44540	978 81 22 31	978 81 22 31	cpalbalate@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Albarracín	44700141	ALBARRACIN	Cami. De Gea, S/N	44100	978 71 01 53	978 71 01 53	crietalbarracin@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Alcañiz	44000246	EMILIO DÍAZ	Cl. Ronda De Caspe, 1	44600	978 83 24 21	978 87 08 57	cpedalcaniz@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Alcañiz	44010100	JUAN SOBRARIAS	CL. Morella s/n	44600	978 83 40 35	978 83 40 35	cpjsalcaniz@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Alcañiz	44010203	JUAN LORENZO PALMIRENO	Avda. Aragón, 28	44600	978 83 13 38	978 83 13 38	cppalmireno@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Alcorisa	44000325	EL JUSTICIA DE ARAGÓN	Cl. San Pascual 22	44550	978 84 02 75	978 84 02 28	cpalcorisa@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Andorra	44000465	JUAN RAMÓN ALEGRE	Cl. San Isidro Labrador, 2	44500	978 84 21 90	978 84 21 90	cpjraandorra@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Andorra	44004562	MANUEL FRANCO ROYO	Avda. Escatrón, 1	44500	978 84 35 15	978 88 02 06	cpmfrandorra@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Calamocha	44000799	RICARDO MALLÉN	Avda. De La Constitución, 1	44200	978 73 02 34	978 730 234	cprmcalamocha@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Calamocha	44700153	CALAMOCHA	Avda. de Aragón, 35	44200	978 73 23 08	978 73 05 01	crietcalamocha@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Calanda	44000829	VIRGEN DEL PILAR	Avda. De Teruel S/N	44570	978 84 61 09		cpvpcalanda@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Cella	44001159	MIGUEL BLASCO VILATELA	Cl. Matadero, S/N	44370	978 65 35 05	978 65 35 05	cpbvcella@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Escucha	44001378	ANTONIO GARGALLO MOYA	Avda. De La Constitución, 3	44770	978 75 81 27	978 75 81 27	cpagescucha@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Híjar	44001706	LUIS TURÓN	Cl. Extramuros, S/N	44530	978 82 01 04	978 82 01 04	cplthijar@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Mas de las Matas	44002061	VALERO SERRANO	Cl. Escuelas, 9	44564	978 84 80 87	978 84 80 87	cpvsmasmatas@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Monreal del Campo	44002152	NTRA. SRA. DEL PILAR	Cl. Alfonso I El Batallador, 1	44300	978 86 45 30	978 86 45 30	cpspmonreal@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Montalbán	44002191	PABLO SERRANO	Cl. Balmes, 7	44700	978 75 02 85	978 75 02 85	Cpmontalban@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Mora de Rubielos	44002221	SAN MIGUEL	Avda. Ibáñez Martín, 13	44400	978 80 01 92	978 80 01 92	cpsmmora@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Sarrión	44002942	DE SARRIÓN	Cl. Tenor Juan García, 2	44460	978 78 01 78	978 78 01 78	cpsarrion@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Teruel	44003090	PIERRES VEDEL	Cl. Yagüe De Salas, 21	44001	978 60 32 57	978 60 32 57	cppvteruel@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Teruel	44003107	MIGUEL VALLÉS	Rambla De San Julián, 57	44003	978 60 39 11	978 60 39 11	cpmvteruel@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Teruel	44003120	LAS ANEJAS	Ctra. Alcañiz, S/N	44003	978 60 35 87	978 60 35 87	cplateruel@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Teruel	44003272	ENSANCHE	Cl. José Torán, 5	44002	978 60 38 61	978 60 38 61	cpenteruel@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Teruel	44004306	LA FUENFRESCA	Cl. Los Tilos, 1	44002	978 60 03 01	978600243	cplfteruel@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Utrillas	44003636	VILLA DE UTRILLAS	Cl. Pablo Gargallo, S/N	44760	978 75 72 26	978 75 72 26	cpvutrillas@educa.aragon.es
Teruel	Colegio de Educación Infantil y Primaria	Valderrobres	44003715	VICENTE FERRER RAMOS	Avda. Madrid, 2	44580	978 85 06 55	978 85 06 55	cpvfvalderrobres@educa.arago.es
Teruel	Colegio Rural Agrupado	Albarracín	44004793	DE ALBARRACÍN	Cami. De Gea, S/N	44100	978 71 00 52	978710052	craalbarracin@educa.aragon.es
Teruel	Colegio Rural Agrupado	Aliaga	44004677	PABLO ANTONIO CRESPO	Cl. Tras De La Iglesia , S/N	44150	978 77 14 42	978 77 14 42	craaliaga@educa.aragon.es
Teruel	Colegio Rural Agrupado	Ariño	44004720	ARIÑO-ALLOZA	Cl. Teruel, 10	44547	978 81 71 33	978817133	craarino@educa.aragon.es
Teruel	Colegio Rural Agrupado	Bello	44005153	CAMPO BELLO	CL. EL PERILLAN, S/N	44232	978 73 41 59	978 73 41 59	crabello@educa.aragon.es
Teruel	Colegio Rural Agrupado	Calaceite	44005062	MATARRANYA	Avda. De Aragón, 2-4	44610	978 85 13 39	978 85 13 39	cracalaceit@educa.aragon.es
Teruel	Colegio Rural Agrupado	Caminreal	44004689	GOYA	Pza. Escuelas, 3	44350	978 86 20 15	978862015	cracaminreal@educa.aragon.es
Teruel	Colegio Rural Agrupado	Cantavieja	44004690	ALTO MAESTRAZGO	Avda. Maestrazgo, 3	44140	964 18 51 29	964 18 51 29	cracantavieja@educa.aragon.es
Teruel	Colegio Rural Agrupado	Castellote	44004732	OLEA	P.º. De La Mina, 3	44560	978 88 74 15	978 88 74 15	cracastellote@educa.aragon.es / craaguaviva@educa.aragon.es
Teruel	Colegio Rural Agrupado	Castelserás	44004811	DEL MEZQUÍN	Cl. Mayor Alta, 69	44630	978 87 71 31	978877131	cracastelseras@educa.aragon.es
Teruel	Colegio Rural Agrupado	Cedrillas	44004719	PALMIRA PLÁ	Cl. Basilio Muñoz, 20-29	44147	978 77 41 62	978 77 41 62	cracedrillas@educa.aragon.es
Teruel	Colegio Rural Agrupado	Cretas	44005131	ALGARS	Cl. Jardín De La Corona De Aragón, S/N	44623	978 89 04 73	978 89 04 73	cracretas@educa.aragon.es
Teruel	Colegio Rural Agrupado	Fresneda (La)	44004744	DE LA FRESNEDA	CL VIRGEN DE GRACIA, 38	44596	978 85 45 53	978 89 48 57	crafresneda@educa.aragon.es
Teruel	Colegio Rural Agrupado	Manzanera	44004483	JAVALAMBRE	Cl. Ingeniero Piqueras, 1	44420	978 78 18 13	978 78 18 13	cramanzanera@educa.aragon.es
Teruel	Colegio Rural Agrupado	Martín del Río	44004768	DE MARTÍN DEL RÍO	Cl. Baja, 37	44750	978 75 00 22	978 75 00 22	cramartinrio@educa.aragon.es
Teruel	Colegio Rural Agrupado	Mata de los Olmos (La)	44004707	SOMONTANO-BAJO ARAGÓN	Cl. Fondus, S/N	44557	978 84 93 57	978 84 93 57	cramata@educa.aragon.es
Teruel	Colegio Rural Agrupado	Mosqueruela	44004616	MAESTRAZGO GÚDAR	Cl. El Vall, 16	44410	978 80 52 18	978 82 52 18	cramosqueruela@educa.aragon.es
Teruel	Colegio Rural Agrupado	Muniesa	44004771	DE MUNIESA	Pza. Aragón, 1	44780	978 81 06 52	978 81 06 52	cramuniesa@educa.aragon.es
Teruel	Colegio Rural Agrupado	Peñarroya de Tastavins	44004756	TASTAVÍNS	Cl. SANTIAGO RAMÓN Y CAJAL, 2	44586	978 89 67 96	978 89 67 96	crapenarroya@educa.aragon.es
Teruel	Colegio Rural Agrupado	Perales del Alfambra	44002541	TERUEL UNO	Cl. Frontón, 6	44163	978 77 52 82	978 77 52 82	craperalesa@educa.aragon.es
Teruel	Colegio Rural Agrupado	Poyo del Cid (El)	44005165	EL POYO DEL CID	Cl. San Miguel, 26	44392	978 73 15 04	978731504	crapoyocid@educa.aragon.es
Teruel	Colegio Rural Agrupado	Puebla de Híjar (La)	44004801	BAJO MARTÍN	Avda. De La Estación, 2	44511	978 82 63 16	978 82 63 16	crapueblah@educa.aragon.es
Teruel	Colegio Rural Agrupado	Puigmoreno	44004471	REGALLO	Cl. Ronda Miraflores, S/N	44660	978 83 81 79	978 83 81 79	crapuigmoreno@educa.aragon.es
Teruel	Colegio Rural Agrupado	Rubielos de Mora	44004781	PÓRTICO DE ARAGÓN	Cl. Pintor Salvador Victoria, 6	44415	978 80 44 18	978 804418	craportico@educa.aragon.es
Teruel	Colegio Rural Agrupado	San Blas	44004628	TURIA	Cl. La Iglesia, S/N	44195	978 61 75 57	978 61 75 57	crasanblas@educa.aragon.es
